stdio    D         file_stdio.c:109  file_stdio_fopen                 [   0.00000] opening D:\Documents\Mini2\game\allegro5.cfg r
system   D            wsystem.c:771  _al_win_safe_load_library        [   0.00000] PathFindOnPath found: C:\WINDOWS\system32\shcore.dll
system   D            wsystem.c:682  load_library_at_path             [   0.00000] Calling LoadLibrary C:\WINDOWS\system32\shcore.dll
system   I            wsystem.c:685  load_library_at_path             [   0.00000] Loaded C:\WINDOWS\system32\shcore.dll
system   I             system.c:257  al_install_system                [   0.00000] Allegro version: 5.2.2
audio-dsound I           dsound.cpp:249  _dsound_open                     [   0.00041] Starting DirectSound...
audio-dsound D           dsound.cpp:258  _dsound_open                     [   0.03549] DirectSoundCreate8 succeeded
audio    I              audio.c:347  do_install_audio                 [   0.03893] Using DirectSound driver
audio-dsound D           dsound.cpp:290  _dsound_allocate_voice           [   0.03900] Allocating voice
audio-dsound D           dsound.cpp:349  _dsound_allocate_voice           [   0.03901] Allocated voice
dtor     D               dtor.c:196  _al_register_destructor          [   0.03902] added dtor for voice 00CDB988, func 61DC5398
dtor     D               dtor.c:196  _al_register_destructor          [   0.03904] added dtor for mixer 00CDBA60, func 61DC1429
audio-dsound D           dsound.cpp:446  _dsound_start_voice              [   0.03905] Starting voice
audio-dsound D           dsound.cpp:474  _dsound_start_voice              [   0.03906] CreateSoundBuffer
audio-dsound D           dsound.cpp:483  _dsound_start_voice              [   0.04170] CreateSoundBuffer succeeded
audio-dsound D           dsound.cpp:489  _dsound_start_voice              [   0.04173] Starting _dsound_update thread
audio-dsound I           dsound.cpp:499  _dsound_start_voice              [   0.04181] Voice started
dtor     D               dtor.c:196  _al_register_destructor          [   0.04182] added dtor for sample_instance 00CDBE38, func 61DBB8F3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.04184] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.04185] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.04186] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.04187] added dtor for sample_instance 00CDC168, func 61DBB8F3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.04188] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.04189] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.04190] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.04191] added dtor for sample_instance 00CE0278, func 61DBB8F3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.04205] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.04206] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.04207] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.04208] added dtor for sample_instance 00CE8370, func 61DBB8F3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.04209] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.04210] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.04211] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.04212] added dtor for sample_instance 00CE84B0, func 61DBB8F3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.04213] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.04214] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.04215] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.04216] added dtor for sample_instance 00CE85C8, func 61DBB8F3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.04223] sample matrix:
